# pondera.tsv - tabula ponderum decretoris (T38 b, 2026-09-15): contentiones et rectae per (regula, dialectus, forma, folliculus, valor) ex ordinibus LIS plagularum EDITIBILIUM (la_circse, la_llct) solis; scrinium numquam; regeneratio: python3 oratio/census/pondera.py <lites.tsv> -scribere (causa nominata); fons 06b4dbfe lites_t38c_off.tsv
regula	dialectus	forma	folliculus	valor	contentiones	rectae	permille
umbra-subiectum-sequente	-	-	positio-numerus	0+pluralis	154	2	12
umbra-subiectum-sequente	-	-	positio-numerus	0+singularis	886	26	29
umbra-subiectum-sequente	-	prosa	-	-	800	22	27
umbra-subiectum-sequente	-	versus	-	-	284	24	84
umbra-subiectum-sequente	classicus	-	-	-	292	27	92
umbra-subiectum-sequente	classicus	-	positio-numerus	0+pluralis	25	1	40
umbra-subiectum-sequente	classicus	-	positio-numerus	0+singularis	265	26	98
umbra-subiectum-sequente	classicus	prosa	-	-	8	3	375
umbra-subiectum-sequente	classicus	versus	-	-	284	24	84
umbra-subiectum-sequente	medius	-	-	-	792	19	23
umbra-subiectum-sequente	medius	-	positio-numerus	0+pluralis	129	1	7
umbra-subiectum-sequente	medius	-	positio-numerus	0+singularis	621	0	0
umbra-subiectum-sequente	medius	prosa	-	-	792	19	23
umbra-subiectum-sequente-proximo	-	-	-	-	358	88	245
umbra-subiectum-sequente-proximo	-	-	positio-numerus	0+pluralis	53	14	264
umbra-subiectum-sequente-proximo	-	-	positio-numerus	0+singularis	247	57	230
umbra-subiectum-sequente-proximo	-	-	positio-numerus	1+pluralis	5	4	800
umbra-subiectum-sequente-proximo	-	-	positio-numerus	1+singularis	18	6	333
umbra-subiectum-sequente-proximo	-	prosa	-	-	96	12	125
umbra-subiectum-sequente-proximo	-	versus	-	-	262	76	290
umbra-subiectum-sequente-proximo	classicus	-	-	-	294	83	282
umbra-subiectum-sequente-proximo	classicus	-	positio-numerus	0+pluralis	43	14	325
umbra-subiectum-sequente-proximo	classicus	-	positio-numerus	0+singularis	197	54	274
umbra-subiectum-sequente-proximo	classicus	-	positio-numerus	1+pluralis	3	2	666
umbra-subiectum-sequente-proximo	classicus	-	positio-numerus	1+singularis	18	6	333
umbra-subiectum-sequente-proximo	classicus	prosa	-	-	32	7	218
umbra-subiectum-sequente-proximo	classicus	versus	-	-	262	76	290
umbra-subiectum-sequente-proximo	medius	-	-	-	64	5	78
umbra-subiectum-sequente-proximo	medius	-	positio-numerus	0+pluralis	10	0	0
umbra-subiectum-sequente-proximo	medius	-	positio-numerus	0+singularis	50	3	60
umbra-subiectum-sequente-proximo	medius	-	positio-numerus	1+pluralis	2	2	1000
umbra-subiectum-sequente-proximo	medius	prosa	-	-	64	5	78
